Analysis,Component name,Id numeric,Result text,Result type,Result value
M-068-AC1,d,168330,0,N,0.000
M-068-AC1,Recuento,168330,1,K,1.000
M-068-AC1,P2,168330,0,N,0.000
M-068-AC1,P1,168330,1,N,1.000
M-068-AC1,Microorganismos cultivables a 22 ºC,168330,1.0,K,1.000
M-068-AC1,Microorg. cultivables a 22ºC,168330,Presencia <4 ufc/ml,O,0.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168330,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168330,0,N,0.000
M-013-AC1,Recuento de Enterococos intestinales,168330,0,N,0.000
D_TURBIDEZ,Turbidez,168330,<0.20,N,0.190
D_POT_IONI,NITRITOS,168330,<0.05,N,0.050
D_POT_IONI,NITRATOS,168330,9.36,N,9.360
D_POT_IONI,FLUORUROS,168330,0.19,N,0.190
D_POT_IONI,CLORUROS,168330,10.53,N,10.530
D_PH,pH,168330,7.5,N,7.470
D_CONDUCT,Conductividad a 20 ºC,168331,590,N,590.000
WMM-LM-CAM,Cloro total,168331,0.1,N,0.100
WMM-LM-CAM,Cloro combinado,168331,.1,N,0.100
TEST-NH4,Amonio,168331,<0.20 mg/l,O,0.000
SULF-IONIC,SULFATOS,168331,18.5,N,18.460
M-068-AC1,d,168331,0,N,0.000
M-068-AC1,Recuento,168331,22,K,22.000
M-068-AC1,P2,168331,3,N,3.000
M-068-AC1,P1,168331,21,N,21.000
M-068-AC1,Microorganismos cultivables a 22º C,168331,2.2E+01,N,22.000
M-068-AC1,Microorganismos cultivables a 22 ºC,168331,2.2E+01,K,22.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168331,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168331,0,N,0.000
M-013-AC1,Recuento de Enterococos intestinales,168331,0,N,0.000
D_TURBIDEZ,Turbidez,168331,0.27,N,0.270
D_POT_IONI,NITRITOS,168331,<0.05,N,0.050
D_POT_IONI,NITRATOS,168331,9.12,N,9.120
D_POT_IONI,FLUORUROS,168331,0.17,N,0.170
D_POT_IONI,CLORUROS,168331,10.55,N,10.550
D_PH,pH,168331,7.6,N,7.550
D_OXIDABIL,Oxidabilidad al Permanganato,168331,1.68,N,1.680
WMM-LM-CAM,Cloro libre,168331,<0.1,N,0.000
D_CONDUCT,Conductividad a 20 ºC,168353,460,N,460.000
WMM-LM-CAM,Cloro total,168353,0.7,N,0.700
D_PH,pH,168353,8.2,N,8.230
D_POT_IONI,CLORUROS,168353,11.82,N,11.820
D_POT_IONI,FLUORUROS,168353,0.11,N,0.110
D_POT_IONI,NITRATOS,168353,9.08,N,9.080
D_POT_IONI,NITRITOS,168353,<0.05,N,0.050
D_TURBIDEZ,Turbidez,168353,<0.20,N,0.190
M-013-AC1,Recuento de Enterococos intestinales,168353,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168353,0,N,0.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168353,0,N,0.000
PE-IL-COND,Conductividad en campo,168353,514,N,514.000
SULF-IONIC,SULFATOS,168353,16.1,N,16.110
TEST-NH4,Amonio,168353,<0.20 mg/l,O,0.000
WMM-LM-CAM,Cloro combinado,168353,.2,N,0.200
WMM-LM-CAM,Cloro libre,168353,0.5,N,0.500
D_OXIDABIL,Oxidabilidad al Permanganato,168353,1.24,N,1.240
D_CONDUCT,Conductividad a 20 ºC,168354,470,N,470.000
WMM-LM-CAM,Cloro total,168354,0.5,N,0.500
D_PH,pH,168354,8.2,N,8.230
D_POT_IONI,CLORUROS,168354,10.84,N,10.840
D_POT_IONI,FLUORUROS,168354,<0.10,N,0.100
D_POT_IONI,NITRATOS,168354,9.79,N,9.790
D_POT_IONI,NITRITOS,168354,<0.05,N,0.050
D_TURBIDEZ,Turbidez,168354,0.83,N,0.830
M-013-AC1,Recuento de Enterococos intestinales,168354,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168354,0,N,0.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168354,0,N,0.000
PE-IL-COND,Conductividad en campo,168354,523,N,523.000
SULF-IONIC,SULFATOS,168354,16.5,N,16.540
TEST-NH4,Amonio,168354,<0.20 mg/l,O,0.000
WMM-LM-CAM,Cloro combinado,168354,.1,N,0.100
WMM-LM-CAM,Cloro libre,168354,0.4,N,0.400
D_OXIDABIL,Oxidabilidad al Permanganato,168354,1.44,N,1.440
WMM-LM-CAM,Cloro combinado,168355,.2,N,0.200
TEST-NH4,Amonio,168355,<0.20 mg/l,O,0.000
WMM-LM-CAM,Cloro total,168355,0.7,N,0.700
D_CONDUCT,Conductividad a 20 ºC,168355,265,N,265.000
D_OXIDABIL,Oxidabilidad al Permanganato,168355,1.04,N,1.040
D_PH,pH,168355,8.0,N,7.970
D_POT_IONI,CLORUROS,168355,14.66,N,14.660
D_POT_IONI,FLUORUROS,168355,1.00,N,1.000
D_POT_IONI,NITRATOS,168355,5.20,N,5.200
D_POT_IONI,NITRITOS,168355,<0.05,N,0.050
D_TURBIDEZ,Turbidez,168355,0.24,N,0.240
M-013-AC1,Recuento de Enterococos intestinales,168355,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168355,0,N,0.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168355,0,N,0.000
PE-IL-COND,Conductividad en campo,168355,297,N,297.000
SULF-IONIC,SULFATOS,168355,14.7,N,14.700
WMM-LM-CAM,Cloro libre,168355,0.5,N,0.500
D_POT_IONI,FLUORUROS,168356,0.86,N,0.860
WMM-LM-CAM,Cloro total,168356,0.7,N,0.700
D_POT_IONI,NITRITOS,168356,<0.05,N,0.050
D_TURBIDEZ,Turbidez,168356,<0.20,N,0.190
D_CONDUCT,Conductividad a 20 ºC,168356,265,N,265.000
D_OXIDABIL,Oxidabilidad al Permanganato,168356,1.96,N,1.960
D_PH,pH,168356,7.7,N,7.690
D_POT_IONI,CLORUROS,168356,14.02,N,14.020
M-013-AC1,Recuento de Enterococos intestinales,168356,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168356,0,N,0.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168356,0,N,0.000
PE-IL-COND,Conductividad en campo,168356,298,N,298.000
SULF-IONIC,SULFATOS,168356,15.0,N,14.950
TEST-NH4,Amonio,168356,<0.20 mg/l,O,0.000
WMM-LM-CAM,Cloro combinado,168356,.2,N,0.200
WMM-LM-CAM,Cloro libre,168356,0.5,N,0.500
D_POT_IONI,NITRATOS,168356,5.13,N,5.130
D_PH,pH,168357,7.7,N,7.690
D_POT_IONI,CLORUROS,168357,14.33,N,14.330
D_POT_IONI,FLUORUROS,168357,0.89,N,0.890
D_POT_IONI,NITRATOS,168357,5.09,N,5.090
D_POT_IONI,NITRITOS,168357,<0.05,N,0.050
D_TURBIDEZ,Turbidez,168357,<0.20,N,0.180
M-013-AC1,Recuento de Enterococos intestinales,168357,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168357,0,N,0.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168357,0,N,0.000
PE-IL-COND,Conductividad en campo,168357,289,N,289.000
SULF-IONIC,SULFATOS,168357,14.4,N,14.380
TEST-NH4,Amonio,168357,<0.20 mg/l,O,0.000
WMM-LM-CAM,Cloro combinado,168357,.4,N,0.400
WMM-LM-CAM,Cloro libre,168357,0.4,N,0.400
WMM-LM-CAM,Cloro total,168357,0.8,N,0.800
D_CONDUCT,Conductividad a 20 ºC,168357,260,N,260.000
D_OXIDABIL,Oxidabilidad al Permanganato,168357,1.44,N,1.440
WMM-LM-CAM,Cloro libre,168358,0.8,N,0.800
WMM-LM-CAM,Cloro total,168358,0.9,N,0.900
WMM-LM-CAM,Cloro combinado,168358,.1,N,0.100
TEST-NH4,Amonio,168358,<0.20 mg/l,O,0.000
SULF-IONIC,SULFATOS,168358,11.7,N,11.690
PE-IL-COND,Conductividad en campo,168358,161.6,N,161.600
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168358,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168358,0,N,0.000
M-013-AC1,Recuento de Enterococos intestinales,168358,0,N,0.000
D_TURBIDEZ,Turbidez,168358,0.74,N,0.740
D_POT_IONI,NITRITOS,168358,<0.05,N,0.050
D_POT_IONI,NITRATOS,168358,<1.00,N,1.000
D_POT_IONI,FLUORUROS,168358,<0.10,N,0.100
D_POT_IONI,CLORUROS,168358,7.92,N,7.920
D_PH,pH,168358,8.1,N,8.070
D_OXIDABIL,Oxidabilidad al Permanganato,168358,0.76,N,0.760
D_CONDUCT,Conductividad a 20 ºC,168358,140,N,140.000
WMM-LM-CAM,Cloro combinado,168359,<0.1,N,0.000
WMM-LM-CAM,Cloro total,168359,<0.1,N,0.000
SULF-IONIC,SULFATOS,168359,48.7,N,48.680
PE-IL-COND,Conductividad en campo,168359,0841,N,841.000
M-016-AC1,Recuento de E. coli ß-glucuronidasa +,168359,0,N,0.000
M-016-AC1,Recuento de Coliformes a 37 ºC,168359,0,N,0.000
M-013-AC1,Recuento de Enterococos intestinales,168359,0,N,0.000
WMM-LM-CAM,Cloro libre,168359,<0.1,N,0.000
D_TURBIDEZ,Turbidez,168359,0.42,N,0.420
D_POT_IONI,NITRITOS,168359,<0.05,N,0.050
D_POT_IONI,NITRATOS,168359,5.85,N,5.850
D_POT_IONI,FLUORUROS,168359,0.10,N,0.100
D_POT_IONI,CLORUROS,168359,76.32,N,76.320
D_PH,pH,168359,7.7,N,7.700
D_OXIDABIL,Oxidabilidad al Permanganato,168359,1.32,N,1.320
D_CONDUCT,Conductividad a 20 ºC,168359,770,N,770.000
TEST-NH4,Amonio,168359,<0.20 mg/l,O,0.000
D_CONDUCT,Conductividad a 20 ºC,168360,710,N,710.000
