Analysis,Component name,Id numeric,Result text,Result type,Result value
BIOCIDA,Biocida nombre,243134,hipoclorito sódico,T,0.000
ENVASE,Envase,243134,Vidrio 500ml,O,0.000
FECHA-MI,Fecha comienzo de los ensayos,243134,15/01/2026,T,0.000
PE-IL-TEMP,Temperatura del agua,243134,54.9,N,54.900
M-021,Recuento,243134,124,N,124.000
M-021,Recuento de Legionella pneumophila,243134,120,N,120.000
M-021,Recuento transformado,243134,1.2E+02,K,120.000
PE-IL-CL,Cloro libre,243134,0.0,N,0.000
FECHA-MI,Fecha fin de los ensayos,243134,22/01/2026,T,0.000
FECHA-MI,Fecha fin de los ensayos,243135,22/01/2026,T,0.000
M-021,Recuento,243135,<10,N,10.000
M-021,Recuento de Legionella pneumophila,243135,<10,N,10.000
M-021,Recuento transformado,243135,1.0E+01,K,10.000
PE-IL-CL,Cloro libre,243135,0.0,N,0.000
PE-IL-TEMP,Temperatura del agua,243135,57,N,57.000
BIOCIDA,Biocida neutralizante,243135,tiosulfato sodico,T,0.000
BIOCIDA,Biocida nombre,243135,hipoclorito sódico,T,0.000
ENVASE,Envase,243135,Vidrio 500ml,O,0.000
FECHA-MI,Fecha comienzo de los ensayos,243135,15/01/2026,T,0.000
BIOCIDA,Biocida neutralizante,243136,tiosulfato sodico,T,0.000
BIOCIDA,Biocida nombre,243136,hipoclorito sódico,T,0.000
PE-IL-TEMP,Temperatura del agua,243136,34.9,N,34.900
PE-IL-CL,Cloro libre,243136,0.0,N,0.000
M-021,Recuento transformado,243136,1.0E+01,K,10.000
M-021,Recuento de Legionella pneumophila,243136,<10,N,10.000
M-021,Recuento,243136,<10,N,10.000
FECHA-MI,Fecha fin de los ensayos,243136,22/01/2026,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,243136,15/01/2026,T,0.000
ENVASE,Envase,243136,Vidrio 500ml,O,0.000
BIOCIDA,Biocida neutralizante,243137,tiosulfato sodico,T,0.000
PE-IL-CL,Cloro libre,243137,0.0,N,0.000
PE-IL-TEMP,Temperatura del agua,243137,48.2,N,48.200
M-021,Recuento de Legionella pneumophila,243137,260,N,260.000
M-021,Recuento transformado,243137,2.6E+02,K,260.000
FECHA-MI,Fecha fin de los ensayos,243137,22/01/2026,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,243137,15/01/2026,T,0.000
ENVASE,Envase,243137,Vidrio 500ml,O,0.000
BIOCIDA,Biocida nombre,243137,hipoclorito sódico,T,0.000
M-021,Recuento,243137,264,N,264.000
PE-IL-TEMP,Temperatura del agua,243138,70,N,70.000
PE-IL-CL,Cloro libre,243138,0.0,N,0.000
M-021,Recuento transformado,243138,1.0E+01,K,10.000
M-021,Recuento de Legionella pneumophila,243138,<10,N,10.000
M-021,Recuento,243138,<10,N,10.000
FECHA-MI,Fecha fin de los ensayos,243138,22/01/2026,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,243138,15/01/2026,T,0.000
ENVASE,Envase,243138,Vidrio 500ml,O,0.000
BIOCIDA,Biocida nombre,243138,hipoclorito sódico,T,0.000
BIOCIDA,Biocida neutralizante,243138,tiosulfato sodico,T,0.000
BIOCIDA,Biocida neutralizante,243139,tiosulfato sodico,T,0.000
BIOCIDA,Biocida nombre,243139,hipoclorito sódico,T,0.000
ENVASE,Envase,243139,Vidrio 500ml,O,0.000
FECHA-MI,Fecha comienzo de los ensayos,243139,15/01/2026,T,0.000
FECHA-MI,Fecha fin de los ensayos,243139,22/01/2026,T,0.000
PE-IL-CL,Cloro libre,243139,0.0,N,0.000
M-021,Recuento transformado,243139,9.9E+02,K,990.000
M-021,Recuento de Legionella pneumophila,243139,990,N,990.000
M-021,Recuento,243139,989,N,989.000
PE-IL-TEMP,Temperatura del agua,243139,50,N,50.000
PE-IL-CL,Cloro libre,243140,0.0,N,0.000
M-021,Recuento transformado,243140,1.6E+03,K,1600.000
PE-IL-TEMP,Temperatura del agua,243140,46.5,N,46.500
BIOCIDA,Biocida neutralizante,243140,tiosulfato sodico,T,0.000
BIOCIDA,Biocida nombre,243140,hipoclorito sódico,T,0.000
ENVASE,Envase,243140,Vidrio 500ml,O,0.000
FECHA-MI,Fecha comienzo de los ensayos,243140,15/01/2026,T,0.000
FECHA-MI,Fecha fin de los ensayos,243140,22/01/2026,T,0.000
M-021,Recuento,243140,1566,N,1566.000
M-021,Recuento de Legionella pneumophila,243140,1.6E+03,N,1600.000
BIOCIDA,Biocida neutralizante,243141,tiosulfato sodico,T,0.000
PE-IL-CL,Cloro libre,243141,0.0,N,0.010
M-021,Recuento transformado,243141,1.9E+02,K,190.000
M-021,Recuento de Legionella pneumophila,243141,190,N,190.000
PE-IL-TEMP,Temperatura del agua,243141,22.1,N,22.100
FECHA-MI,Fecha fin de los ensayos,243141,22/01/2026,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,243141,15/01/2026,T,0.000
ENVASE,Envase,243141,Vidrio 500ml,O,0.000
BIOCIDA,Biocida nombre,243141,hipoclorito sódico,T,0.000
M-021,Recuento,243141,187,N,187.000
PE-IL-CL,Cloro libre,243142,0.0,N,0.000
M-021,Recuento transformado,243142,3.9E+01,K,39.000
M-021,Recuento de Legionella pneumophila,243142,39,N,39.000
M-021,Recuento,243142,39,N,39.000
FECHA-MI,Fecha fin de los ensayos,243142,22/01/2026,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,243142,15/01/2026,T,0.000
ENVASE,Envase,243142,Vidrio 500ml,O,0.000
BIOCIDA,Biocida nombre,243142,hipoclorito sódico,T,0.000
BIOCIDA,Biocida neutralizante,243142,tiosulfato sodico,T,0.000
PE-IL-TEMP,Temperatura del agua,243142,54.6,N,54.600
FECHA-MI,Fecha comienzo de los ensayos,243143,15/01/2026,T,0.000
ENVASE,Envase,243143,Vidrio 500ml,O,0.000
BIOCIDA,Biocida nombre,243143,hipoclorito sódico,T,0.000
BIOCIDA,Biocida neutralizante,243143,tiosulfato sodico,T,0.000
PE-IL-TEMP,Temperatura del agua,243143,45.1,N,45.100
M-021,Recuento,243143,<10,N,10.000
M-021,Recuento de Legionella pneumophila,243143,<10,N,10.000
M-021,Recuento transformado,243143,1.0E+01,K,10.000
PE-IL-CL,Cloro libre,243143,0.0,N,0.000
FECHA-MI,Fecha fin de los ensayos,243143,22/01/2026,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,243144,15/01/2026,T,0.000
ENVASE,Envase,243144,Vidrio 500ml,O,0.000
BIOCIDA,Biocida nombre,243144,hipoclorito sódico,T,0.000
BIOCIDA,Biocida neutralizante,243144,tiosulfato sodico,T,0.000
FECHA-MI,Fecha fin de los ensayos,243144,22/01/2026,T,0.000
PE-IL-TEMP,Temperatura del agua,243144,51.3,N,51.300
PE-IL-CL,Cloro libre,243144,0.0,N,0.000
M-021,Recuento transformado,243144,3.6E+02,K,360.000
M-021,Recuento de Legionella pneumophila,243144,360,N,360.000
M-021,Recuento,243144,361,N,361.000
BIOCIDA,Biocida neutralizante,243148,tiosulfato sodico,T,0.000
BIOCIDA,Biocida nombre,243148,hipoclorito sódico,T,0.000
ENVASE,Envase,243148,Vidrio 500ml,O,0.000
FECHA-MI,Fecha comienzo de los ensayos,243148,15/01/2026,T,0.000
PE-IL-TEMP,Temperatura del agua,243148,46.5,N,46.500
M-021,Recuento transformado,243148,5.9E+03,K,5900.000
M-021,Recuento de Legionella pneumophila,243148,5.9E+03,N,5900.000
M-021,Recuento,243148,5897,N,5897.000
FECHA-MI,Fecha fin de los ensayos,243148,22/01/2026,T,0.000
PE-IL-CL,Cloro libre,243148,0.0,N,0.000
FECHA-MI,Fecha fin de los ensayos,243149,22/01/2026,T,0.000
M-021,Recuento,243149,>22726,N,22726.000
M-021,Recuento de Legionella pneumophila,243149,>2.3E+04,N,23000.000
M-021,Recuento transformado,243149,2.3E+04,K,23000.000
PE-IL-CL,Cloro libre,243149,0.0,N,0.000
PE-IL-TEMP,Temperatura del agua,243149,38.4,N,38.400
BIOCIDA,Biocida neutralizante,243149,tiosulfato sodico,T,0.000
BIOCIDA,Biocida nombre,243149,hipoclorito sódico,T,0.000
ENVASE,Envase,243149,Vidrio 500ml,O,0.000
FECHA-MI,Fecha comienzo de los ensayos,243149,15/01/2026,T,0.000
BIOCIDA,Biocida neutralizante,243150,tiosulfato sodico,T,0.000
BIOCIDA,Biocida nombre,243150,hipoclorito sódico,T,0.000
ENVASE,Envase,243150,Vidrio 500ml,O,0.000
FECHA-MI,Fecha comienzo de los ensayos,243150,15/01/2026,T,0.000
PE-IL-TEMP,Temperatura del agua,243150,46.2,N,46.200
M-021,Recuento,243150,>22726,N,22726.000
M-021,Recuento de Legionella pneumophila,243150,>2.3E+04,N,23000.000
M-021,Recuento transformado,243150,2.3E+04,K,23000.000
PE-IL-CL,Cloro libre,243150,0.0,N,0.000
FECHA-MI,Fecha fin de los ensayos,243150,22/01/2026,T,0.000
M-027,Recuento de bacterias coliformes,243313,<1,N,1.000
M-034,Recuento de Pseudomonas aeruginosa,243313,<1,N,1.000
AMONI-CI-P,Amonio,243313,<0.15,N,0.000
D_CONDUCT,Conductividad a 20 ºC,243313,650,N,649.800
D_OXIDABIL,Oxidabilidad,243313,1.15,N,1.150
D_PH,pH,243313,7.5,N,7.480
D_TURBIDEZ,Turbidez,243313,<0.4,N,0.130
FECHA-AMB,Fecha comienzo de los ensayos,243313,26/01/2026,T,0.000
FECHA-AMB,Fecha fin de los ensayos,243313,27/01/2026,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,243313,26/01/2026,T,0.000
FECHA-MI,Fecha fin de los ensayos,243313,28/01/2026,T,0.000
M-019-AC1,Recnto. Estafilococos coagulasa +,243313,No aceptable,O,0.000
M-027,Recuento de E. coli,243313,<1,N,1.000
M-027,Recuento de bacterias coliformes,243314,<1,N,1.000
M-027,Recuento de E. coli,243314,<1,N,1.000
M-019-AC1,Recuento de Estafilococos coagulasa +,243314,<1,N,1.000
FECHA-MI,Fecha fin de los ensayos,243314,28/01/2026,T,0.000
FECHA-MI,Fecha comienzo de los ensayos,243314,26/01/2026,T,0.000
FECHA-AMB,Fecha fin de los ensayos,243314,27/01/2026,T,0.000
M-034,Recuento de Pseudomonas aeruginosa,243314,<1,N,1.000
D_TURBIDEZ,Turbidez,243314,<0.4,N,0.110
D_PH,pH,243314,7.5,N,7.530
D_OXIDABIL,Oxidabilidad,243314,1.27,N,1.270
D_CONDUCT,Conductividad a 20 ºC,243314,612,N,611.500
AMONI-CI-P,Amonio,243314,<0.15,N,0.000
FECHA-AMB,Fecha comienzo de los ensayos,243314,26/01/2026,T,0.000
