Id numeric,Result text,Result value,Sampled date,Test status,Description,Component name,Sample name
"    233623","<0.22                                                                                                                                                                                                                                     ","     0.060","06-MAY-2024 08:49:00","A","blanco envase 25/3/2024                                                                             ","Turbidez                                ","agua blanco                   "
"    233623","<1.0                                                                                                                                                                                                                                      ","     0.020","06-MAY-2024 08:49:00","A","blanco envase 25/3/2024                                                                             ","Plomo total                             ","agua blanco                   "
"    233623","<1.0                                                                                                                                                                                                                                      ","    -0.030","06-MAY-2024 08:49:00","A","blanco envase 25/3/2024                                                                             ","Antimonio total                         ","agua blanco                   "
"    233623","8.2                                                                                                                                                                                                                                       ","     8.230","06-MAY-2024 08:49:00","A","blanco envase 25/3/2024                                                                             ","pH                                      ","agua blanco                   "
"    233785","7.8                                                                                                                                                                                                                                       ","     7.790","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","pH                                      ","agua duplicado                "
"    233785","<0.10                                                                                                                                                                                                                                     ","     0.020","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Cloro libre                             ","agua duplicado                "
"    233785","<0.22                                                                                                                                                                                                                                     ","     0.160","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Turbidez                                ","agua duplicado                "
"    233785","1.32                                                                                                                                                                                                                                      ","     1.320","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Oxidabilidad                            ","agua duplicado                "
"    233785","16/05/2024                                                                                                                                                                                                                                ","     0.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                "," Fecha comienzo de los ensayos          ","agua duplicado                "
"    233785","0                                                                                                                                                                                                                                         ","     0.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Recuento de C. perfringens (incluido esp","agua duplicado                "
"    233785","0                                                                                                                                                                                                                                         ","     0.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Recuento de E. coli                     ","agua duplicado                "
"    233785","0                                                                                                                                                                                                                                         ","     0.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Recuento de bacterias coliformes        ","agua duplicado                "
"    233785","0                                                                                                                                                                                                                                         ","     0.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Recuento de Enterococos intestinales    ","agua duplicado                "
"    233785","<1                                                                                                                                                                                                                                        ","     1.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Microorganismos cultivables a 22º C     ","agua duplicado                "
"    233785","0.0                                                                                                                                                                                                                                       ","     0.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Microorganismos cultivables a 22 ºC     ","agua duplicado                "
"    233785","0                                                                                                                                                                                                                                         ","     0.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Recuento                                ","agua duplicado                "
"    233785","0                                                                                                                                                                                                                                         ","     0.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","d                                       ","agua duplicado                "
"    233785","0                                                                                                                                                                                                                                         ","     0.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","P2                                      ","agua duplicado                "
"    233785","0                                                                                                                                                                                                                                         ","     0.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","P1                                      ","agua duplicado                "
"    233785","20/5/24                                                                                                                                                                                                                                   ","     0.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                "," Fecha fin de los ensayos               ","agua duplicado                "
"    233785","16/5/24                                                                                                                                                                                                                                   ","     0.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                "," Fecha comienzo de los ensayos          ","agua duplicado                "
"    233785","12.75                                                                                                                                                                                                                                     ","    12.750","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Cloruros                                ","agua duplicado                "
"    233785","<50.0                                                                                                                                                                                                                                     ","     7.606","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Sodio                                   ","agua duplicado                "
"    233785","27.5                                                                                                                                                                                                                                      ","    27.500","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Suma Trihalometanos                     ","agua duplicado                "
"    233785","<10.0                                                                                                                                                                                                                                     ","    10.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Bromoformo                              ","agua duplicado                "
"    233785","<5.0                                                                                                                                                                                                                                      ","     5.000","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Dibromoclorometano                      ","agua duplicado                "
"    233785","7.4                                                                                                                                                                                                                                       ","     7.383","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Bromodiclorometano                      ","agua duplicado                "
"    233785","20.1                                                                                                                                                                                                                                      ","    20.119","16-MAY-2024 11:35:38","A","duplicado de 233772 fuente Astegieta                                                                ","Cloroformo                              ","agua duplicado                "
